"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"49","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0024.bmp","","1515.0024.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"50","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0025.bmp","","1515.0025.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"51","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0026.bmp","","1515.0026.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"52","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0027.bmp","","1515.0027.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"53","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0028.bmp","","1515.0028.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"54","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0029.bmp","","1515.0029.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"55","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0030.bmp","","1515.0030.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"56","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0031.bmp","","1515.0031.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"57","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0032.bmp","","1515.0032.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"58","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0033.bmp","","1515.0033.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"59","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0034.bmp","","1515.0034.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"60","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0035.bmp","","1515.0035.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"61","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0036.bmp","","1515.0036.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
